1,jgantlett0@example.com,147-531-7396,47 Gina Circle,,Major Pharmaceuticals
2,sleeds1@baidu.com,235-114-9397,,,Hospital/Nursing Management
3,akennicott2@bing.com,691-657-2036,2124 Havey Point,,Savings Institutions
4,,,,,n/a
5,,,583 Dryden Point,,Forest Products
6,adunsire5@intel.com,554-180-6368,0 Anniversary Pass,,Marine Transportation
7,mharcus6@about.com,830-940-9305,4979 Muir Drive,,n/a
8,mleeds7@odnoklassniki.ru,366-137-4076,,,Paper
9,nflanaghan8@earthlink.net,377-910-7684,104 Rusk Plaza,$68635449.09,n/a
10,sawcock9@parallels.com,388-282-0477,5213 Brentwood Drive,,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
11,cjerrima@techcrunch.com,971-790-0605,,,Property-Casualty Insurers
12,ptrubshaweb@freewebs.com,885-842-0908,34 Hooker Pass,,Business Services
13,cspindlerc@msu.edu,452-848-7140,4 Jackson Street,$49277841.25,Major Chemicals
14,ddaoused@cnet.com,902-347-2773,,,n/a
15,astriblinge@amazon.com,519-242-5370,,,Major Pharmaceuticals
16,,,,,n/a
17,,,89 Pearson Court,,n/a
18,hsellwoodh@unesco.org,364-899-0943,,,Precious Metals
19,areithi@amazon.de,285-493-8796,1 Ohio Road,,n/a
20,,,043 Havey Street,,n/a
21,mbedwardk@i2i.jp,792-896-8182,,,Television Services
22,gboatwrightl@exblog.jp,522-513-8367,,,Major Pharmaceuticals
23,mdudekm@mlb.com,942-503-4852,,$63835130.74,Biotechnology: Commercial Physical & Biological Resarch
24,tpaddien@kickstarter.com,619-141-1334,7 Fremont Park,,Marine Transportation
25,dedlero@joomla.org,889-769-0467,7 Mariners Cove Crossing,,Consumer Specialties
26,nkasselp@sourceforge.net,853-908-3958,,,Specialty Insurers
27,cmatussonq@wp.com,182-362-0066,,$74699003.74,Telecommunications Equipment
28,mbullerwellr@icq.com,989-609-2619,1 Canary Park,,n/a
29,,,7309 Lakewood Gardens Road,,EDP Services
30,slampt@wufoo.com,637-732-5350,81217 Loeprich Road,,n/a
31,fsprayu@quantcast.com,652-881-1335,,,Property-Casualty Insurers
32,pmorvillev@cloudflare.com,147-817-5521,122 Coolidge Junction,,Industrial Machinery/Components
33,cseivwrightw@yahoo.com,745-765-9049,,,Telecommunications Equipment
34,,,4 7th Center,,n/a
35,,,274 Rigney Court,,n/a
36,jficez@samsung.com,777-108-0549,,,Other Specialty Stores
37,mdeniso10@wired.com,514-919-3641,23 Merrick Plaza,,n/a
38,acrippes11@independent.co.uk,576-746-8299,33 Park Meadow Pass,,Major Banks
39,sdelatour12@cornell.edu,373-953-3782,427 Huxley Lane,,n/a
40,cgrundle13@microsoft.com,880-599-7263,,,Real Estate Investment Trusts
41,aadhams14@reference.com,887-899-2305,,,Metal Fabrications
42,abaitman15@irs.gov,464-104-1390,06 Prentice Crossing,,n/a
43,tdigan16@purevolume.com,380-724-2775,,,Specialty Chemicals
44,kwhittleton17@nifty.com,291-329-1339,,,Life Insurance
45,sshervil18@cbsnews.com,444-397-1345,,$12598415.13,n/a
46,,,,,Real Estate Investment Trusts
47,,,,,Major Pharmaceuticals
48,asunderland1b@nih.gov,788-288-0707,20 Leroy Circle,,Biotechnology: Electromedical & Electrotherapeutic Apparatus
49,hperello1c@a8.net,240-184-9206,8 Chive Trail,,"Computer Software: Programming, Data Processing"
